Κωδικός,Ονομασία,Ποσό
1110609001,Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.,11.000.000
1110609002,Τέλος ταξινόμησης λοιπών οχημάτων - εισαγόμενα από τρίτες,7.000.000
1110610,Έκτακτο περιβαλλοντικό τέλος οχημάτων,13.000.000
1110610001,Έκτακτο περιβαλλοντικό τέλος οχημάτων,13.000.000
11108,Λοιποί φόροι επί συγκεκριμένων υπηρεσιών,2.318.000.000
1110801,Φόροι στα κρατικά λαχεία,5.000.000
1110801001,Φόροι στα κρατικά λαχεία,5.000.000
1110802,Φόροι στα μικτά κέρδη των καζίνο,54.000.000
1110802001,Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας,12.000.000
1110802002,Φόροι στα μικτά κέρδη των λοιπών καζίνο,42.000.000
1110803,Φόροι στα μικτά κέρδη τυχερών παιγνίων,695.000.000
1110803001,Φόροι στα μικτά κέρδη τυχερών παιγνίων,695.000.000
1110810,Τέλη Eurocontrol,72.000.000
1110810001,Τέλη Eurocontrol,72.000.000
1110811,Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων,5.000.000
1110811001,Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων,5.000.000
1110813,Τέλος ΑμεΑ στα αεροπορικά εισιτήρια,2.000.000
1110813001,Τέλος ΑμεΑ στα αεροπορικά εισιτήρια,2.000.000
1110815,Τέλος Πλοίων Αναψυχής και Ημερόπλοιων και,14.000.000
1110815001,Τέλος Πλοίων Αναψυχής και Ημερόπλοιων (ΤΕ.Π.Α.Η),12.000.000
1110815002,Τέλος Επαγγελματικού Πλοίου Αναψυχής σύμφωνα με το Δίκαιο,2.000.000
1110820,Φόρος ασφαλίστρων,586.000.000
1110820001,Φόρος ασφαλίστρων,586.000.000
1110821,Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την,14.000.000
1110821001,Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την,14.000.000
1110822,Τέλη συνδρομητών σταθερής τηλεφωνίας,52.000.000
1110822001,Τέλη συνδρομητών σταθερής τηλεφωνίας,52.000.000
1110823,Τέλη συνδρομητών κινητής τηλεφωνίας,160.000.000
1110823001,Τέλη συνδρομητών κινητής τηλεφωνίας,160.000.000
1110824,Τέλος στη συνδρομητική Τηλεόραση,23.000.000
1110824001,Τέλος στη συνδρομητική Τηλεόραση,23.000.000
1110825,Τέλος ανθεκτικότητας στην κλιματική κρίση (πρώην Φόρος,582.000.000
1110825001,Τέλος ανθεκτικότητας στην κλιματική κρίση (πρώην Φόρος στη,582.000.000
1110827,Τέλος κρουαζιέρας,52.000.000
1110827001,Τέλος κρουαζιέρας,52.000.000
1110889,Λοιποί ειδικοί φόροι σε υπηρεσίες,2.000.000
1110889001,Λοιποί ειδικοί φόροι σε υπηρεσίες,2.000.000
11109,Λοιποί Φόροι επί αγαθών,218.000.000
1110901,Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων,3.000.000
1110901001,Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας,3.000.000
1110902,Ειδικοί Φόροι στη διακίνηση καυσίμων,76.000.000
1110902001,Ειδικοί Φόροι στη διακίνηση καυσίμων,76.000.000
1110903,Περιβαλλοντικά τέλη και εισφορές,29.000.000
1110903001,Περιβαλλοντικό τέλος πλαστικής σακούλας,13.000.000
1110903002,Εισφορά προστασίας του περιβάλλοντος για τα πλαστικά προϊόντα,16.000.000
1110904,Πράσινο τέλος στο diesel κίνησης,110.000.000
1110904001,Πράσινο τέλος στο diesel κίνησης,110.000.000
112,Φόροι και δασμοί επί εισαγωγών,362.000.000
11201,Δασμοί,362.000.000
1120101,Δασμοί κοινού δασμολογίου,338.000.000
1120101001,Δασμοί κοινού δασμολογίου,338.000.000
1120102,Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί,24.000.000
1120102001,Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί,24.000.000
113,Τακτικοί φόροι ακίνητης περιουσίας,2.353.000.000
11301,Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας,2.353.000.000
1130101,Φόρος στην ακίνητη περιουσία (ΦΑΠ),2.000.000
1130101001,Φόρος στην ακίνητη περιουσία (ΦΑΠ),2.000.000
1130102,Ενιαίο τέλος ακινήτων,1.000.000
1130102001,Ενιαίο τέλος ακινήτων,1.000.000
1130103,Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων,7.000.000
1130103001,Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών,7.000.000
1130104,Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ),2.342.000.000
1130104001,Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ),2.342.000.000
1130189,Λοιποί φόροι στην ακίνητη περιουσία,1.000.000
1130189001,Λοιποί φόροι στην ακίνητη περιουσία,1.000.000
114,Λοιποί φόροι επί παραγωγής,355.000.000
11401,Επιχειρηματικές και επαγγελματικές άδειες,306.000.000
1140101,Τέλος επιτηδεύματος,233.000.000
1140101001,Τέλος επιτηδεύματος,233.000.000
1140102,Άδειες παροχής υπηρεσιών τυχερών παιγνίων,5.000.000
1140102001,Άδειες παροχής υπηρεσιών τυχερών παιγνίων,5.000.000
1140103,Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων,22.000.000
1140103001,Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων,22.000.000
1140104,Έσοδα από εκδόσεις πολεοδομικών αδειών,7.000.000
1140104001,Έσοδα από εκδόσεις πολεοδομικών αδειών,7.000.000
1140105,Ειδικό τέλος για άδειες λειτουργίας καζίνο,2.000.000
1140105001,Ειδικό τέλος για άδειες λειτουργίας καζίνο,2.000.000
1140106,Τέλη χορήγησης αδειών από τις λιμενικές αρχές,2.000.000
1140106001,Τέλη χορήγησης αδειών από τις λιμενικές αρχές,2.000.000
1140108,Τέλη μηχανημάτων έργων,12.000.000
1140108001,Τέλη μηχανημάτων έργων,12.000.000
1140189,Λοιπές Επιχειρηματικές και επαγγελματικές άδειες,23.000.000
1140189001,Λοιπές Επιχειρηματικές και επαγγελματικές άδειες,23.000.000
11409,Διάφοροι άλλοι φόροι επί  παραγωγής,49.000.000
1140902,Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.),17.000.000
1140902001,Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.),17.000.000
1140903,Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών,5.000.000
1140903001,Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων,5.000.000
1140904,Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του,1.000.000
1140904001,Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του,1.000.000
1140907,Κράτηση στις δαπάνες έργων  των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.,1.000.000
1140907001,Κράτηση στις δαπάνες έργων  των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.,1.000.000
1140910,Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών,21.000.000
1140910001,Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών,21.000.000
1140989,Λοιπoί φόροι επί της παραγωγής,4.000.000
1140989001,Λοιπoί φόροι επί της παραγωγής,4.000.000
115,Φόρος εισοδήματος,23.719.000.000
11501,Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ),14.511.000.000
1150101,Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων,3.716.000.000
1150101001,Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων,3.716.000.000
1150102,Φόρος στο εισόδημα ΦΠ - προκαταβολή,523.000.000
1150102001,Φόρος στο εισόδημα ΦΠ - προκαταβολή,523.000.000
1150103,Φόρος στο εισόδημα από μισθούς - παρακράτηση,6.313.000.000
1150103001,Φόρος στο εισόδημα από μισθούς - παρακράτηση,6.313.000.000
1150104,Φόρος στο εισόδημα από συντάξεις - παρακράτηση,2.400.000.000
1150104001,Φόρος στο εισόδημα από συντάξεις - παρακράτηση,2.400.000.000
1150105,Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) -,1.265.000.000
1150105001,Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) -,1.265.000.000
1150106,Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της,279.000.000
1150106001,Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας,279.000.000
1150110,Φόρος από εναλλακτική φορολόγηση εισοδήματος που,14.000.000
1150110001,Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει,11.000.000
1150110002,Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει,3.000.000
1150189,Λοιποί φόροι στο εισόδημα ΦΠ,1.000.000
1150189001,Λοιποί φόροι στο εισόδημα ΦΠ,1.000.000
11502,Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ),7.244.000.000
1150201,Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα -,2.033.000.000
1150201001,Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση,2.033.000.000
1150202,Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα -,3.269.000.000
1150202001,Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή,3.269.000.000
1150203,Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών,500.000.000
1150203001,Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων -,500.000.000
1150204,Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών,608.000.000
1150204001,Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων -,608.000.000
1150205,Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών,346.000.000
1150205001,Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών,346.000.000
1150206,Εφάπαξ φόροι εισοδήματος ΝΠ,1.000.000
1150206001,Εφάπαξ φόροι εισοδήματος ΝΠ,1.000.000
1150289,Λοιποί φόροι στο εισόδημα εταιριών,487.000.000
1150289001,Λοιποί φόροι στο εισόδημα εταιριών,9.000.000
1150289002,Προσωρινή Συνεισφορά Αλληλεγγύης (Π.Σ.Α) σύμφωνα με το,478.000.000
11503,Φόροι επί κερδών διακράτησης,18.000.000
1150301,Φόρος στο εισόδημα από υπεραξία μεταβίβασης ακινήτων,1.000.000
1150301001,Φόρος στο εισόδημα από υπεραξία μεταβίβασης ακινήτων,1.000.000
1150302,Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών,17.000.000
1150302001,Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών,17.000.000
11504,Φόροι επί κερδών από λαχεία και τυχερά παίγνια,272.000.000
1150489,Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια,272.000.000
1150489001,Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια,272.000.000
11505,Φόρος εισοδήματος κατοίκων αλλοδαπής,92.000.000
1150501,Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα,91.000.000
1150501001,Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα,91.000.000
1150502,Φόρος εισοδήματος αλλοδαπής από τόκους,1.000.000
1150502001,Φόρος εισοδήματος αλλοδαπής από τόκους,1.000.000
11506,Φόρος εισοδήματος ειδικών κατηγοριών,1.582.000.000
1150601,Φόρος πλοίων,233.000.000
1150601001,Φόρος πλοίων,233.000.000
1150602,"Φόρος επί των τόκων των καταθέσεων, συμφωνιών",658.000.000
1150602001,"Φόρος επί των τόκων των καταθέσεων, συμφωνιών επαναγοράς,",658.000.000
1150604,Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού,43.000.000
1150604001,Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού,43.000.000
1150605,Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού,59.000.000
1150605001,Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού,59.000.000
1150689,Λοιποί φόροι εισοδήματος ειδικών κατηγοριών,589.000.000
1150689001,Λοιποί φόροι εισοδήματος ειδικών κατηγοριών,589.000.000
116,Φόροι κεφαλαίου,232.000.000
11601,"Φόροι κληρονομιών, γονικών παροχών και δωρεών",232.000.000
1160101,Φόροι και τέλη κληρονομιών,178.000.000
1160101001,Φόροι και τέλη κληρονομιών,178.000.000
1160102,"Φόροι και τέλη δωρεών, γονικών και λοιπών παροχών",54.000.000
1160102001,"Φόροι και τέλη δωρεών, γονικών και λοιπών παροχών",54.000.000
119,Λοιποί τρέχοντες φόροι,1.367.000.000
11901,Φόροι οχημάτων,1.260.000.000
1190101,Τέλη κυκλοφορίας,1.255.000.000
1190101001,Τέλη κυκλοφορίας,1.255.000.000
1190189,Λοιπά τέλη και εισφορές στα οχήματα,5.000.000
1190189001,Λοιπά τέλη και εισφορές στα οχήματα,5.000.000
11902,Τρέχοντες φόροι επί κινητής περιουσίας,39.000.000
1190201,Φόρος πολυτελούς διαβίωσης,39.000.000
1190201001,Φόρος πολυτελούς διαβίωσης,39.000.000
11903,Γενικές και ειδικές άδειες νοικοκυριών,68.000.000
1190301,Έσοδα από ιατρικές εξετάσεις οδηγών,68.000.000
1190301001,Έσοδα από ιατρικές εξετάσεις οδηγών,68.000.000
12,Κοινωνικές εισφορές,60.000.000
122,Λοιπές κοινωνικές εισφορές,60.000.000
12201,Εισφορές εργαζομένων,60.000.000
1220101,Εισφορές εργαζομένων για συνταξιοδότηση από το Δημόσιο,1.000.000
1220101001,Εισφορές εργαζομένων για συνταξιοδότηση από το Δημόσιο,1.000.000
1220102,Εισφορές εργαζομένων για παροχές υγείας από το Δημόσιο,59.000.000
1220102001,Εισφορές εργαζομένων για παροχές υγείας από το Δημόσιο,59.000.000
13,Μεταβιβάσεις,8.131.000.000
131,Τρέχουσες εγχώριες μεταβιβάσεις,322.000.000
13108,Μεταβιβάσεις από λοιπά νομικά πρόσωπα,322.000.000
1310801,Μέρισμα ΕΕΤΤ,19.000.000
1310801001,Μέρισμα ΕΕΤΤ,19.000.000
1310803,Έσοδα από πλειστηριασμούς αδιάθετων δικαιωμάτων,250.000.000
1310803001,Έσοδα από πλειστηριασμούς αδιάθετων δικαιωμάτων εκπομπών,250.000.000
1310889,Λοιπές μεταβιβάσεις από νομικά πρόσωπα,53.000.000
1310889001,Λοιπές μεταβιβάσεις από νομικά πρόσωπα,53.000.000
132,Τρέχουσες μεταβιβάσεις από οργανισμούς και κράτη-μέλη της,15.000.000
13201,Τρέχουσες μεταβιβάσεις από τα Κοινοτικά Ταμεία,15.000.000
1320189,Λοιπές τρέχουσες μεταβιβάσεις από τα κοινοτικά ταμεία,15.000.000
1320189001,Λοιπές τρέχουσες μεταβιβάσεις από τα κοινοτικά ταμεία,15.000.000
133,Τρέχουσες μεταβιβάσεις από φορείς του εξωτερικού,8.000.000
13301,Τρέχουσες μεταβιβάσεις από Διεθνείς Οργανισμούς,1.000.000
1330102,Εισφορές Ν.Α.Τ.Ο. για δαπάνες λειτουργίας και συντήρησης,1.000.000
1330102001,Εισφορές Ν.Α.Τ.Ο. για δαπάνες λειτουργίας και συντήρησης,1.000.000
13309,Τρέχουσες μεταβιβάσεις από λοιπούς φορείς του εξωτερικού,7.000.000
1330901,Μεταβιβάσεις από ξένες χώρες,7.000.000
1330901001,Μεταβιβάσεις από ξένες χώρες,7.000.000
134,Επιχορηγήσεις επενδύσεων εσωτερικού,35.000.000
13409,Λοιπές Επιχορηγήσεις επενδύσεων,35.000.000
1340901,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,35.000.000
1340901001,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,35.000.000
135,Επιχορηγήσεις επενδύσεων από την Ε.Ε.,7.645.000.000
13501,Επιχορηγήσεις επενδύσεων από κοινοτικά ταμεία,7.645.000.000
1350101,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,1.308.000.000
1350101001,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,1.308.000.000
1350103,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής,1.133.000.000
1350103001,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής,1.133.000.000
1350104,Απολήψεις από το Ταμείο Συνοχής,702.000.000
1350104001,Απολήψεις από το Ταμείο Συνοχής,702.000.000
1350106,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,602.000.000
1350106001,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,602.000.000
1350107,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας,58.000.000
1350107001,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας (ΕΤΘΑ),58.000.000
1350108,"Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και",167.000.000
1350108001,"Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και Ένταξης και",167.000.000
1350109,Απολήψεις από το Ταμείο Ανάκαμψης και Ανθεκτικότητας,3.455.000.000
1350109001,Απολήψεις από το Ταμείο Ανάκαμψης και Ανθεκτικότητας,3.455.000.000
1350189,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων,220.000.000
1350189001,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων,220.000.000
139,Λοιπές κεφαλαιακές μεταβιβάσεις,106.000.000
13901,Έσοδα από επιστροφές καταπτώσεων εγγυήσεων,61.000.000
1390101,Έσοδα από επιστροφές καταπτώσεων εγγυήσεων,55.000.000
1390101001,Έσοδα από επιστροφές καταπτώσεων εγγυήσεων,55.000.000
1390189,Λοιπά έσοδα από καταπτώσεις εγγυήσεων,6.000.000
1390189001,Λοιπά έσοδα από καταπτώσεις εγγυήσεων,6.000.000
13904,Έσοδα από δωρεές,7.000.000
1390489,Έσοδα από κάθε χαριστική πράξη υπέρ του Δημοσίου,7.000.000
1390489001,Έσοδα από κάθε χαριστική πράξη υπέρ του Δημοσίου,7.000.000
13909,Έσοδα από λοιπές κεφαλαιακές μεταβιβάσεις,38.000.000
1390902,Έσοδα από την περιέλευση αδρανών καταθέσεων στο,37.000.000
1390902001,Έσοδα από την περιέλευση αδρανών καταθέσεων στο Ελληνικό,37.000.000
1390989,Λοιπά έσοδα από λοιπές κεφαλαιακές μεταβιβάσεις,1.000.000
1390989001,Λοιπά έσοδα από λοιπές κεφαλαιακές μεταβιβάσεις,1.000.000
14,Πωλήσεις αγαθών και υπηρεσιών,2.405.000.000
141,Πωλήσεις αγαθών,2.000.000
14101,Πωλήσεις αγαθών,2.000.000
1410189,Λοιπές Πωλήσεις Αγαθών,2.000.000
1410189001,Λοιπές Πωλήσεις Αγαθών,2.000.000
142,Παροχή υπηρεσιών,338.000.000
14202,Παροχή υπηρεσιών εκπαίδευσης,1.000.000
1420201,Έσοδα ΥΠΑ από παροχή υπηρεσιών εκπαίδευσης,1.000.000
1420201001,Έσοδα ΥΠΑ από παροχή υπηρεσιών εκπαίδευσης,1.000.000
14203,Παροχή δικαστικών υπηρεσιών,45.000.000
